id	name	bbx
3007	Szarvaskend	16.6668819,46.9547718,16.6985043,47.0145736
2731	Szakony	16.6677973,47.4091376,16.7549957,47.4528175
2728	Sopronhorpács	16.6689584,47.4602608,16.7591963,47.5396456
1132	Ortaháza	16.6700416,46.6085398,16.7243373,46.6420388
2885	Halastó	16.6710303,46.9288379,16.7065878,46.9631301
1062	Kányavár	16.6725906,46.552231,16.6949718,46.587973
1094	Lispeszentadorján	16.6742163,46.5194042,16.7201368,46.555593
2701	Pereszteg	16.6743871,47.5477998,16.7591884,47.6128334
1091	Letenye	16.6743927,46.3787033,16.7857412,46.4778356
3028	Vassurány	16.6750098,47.2556033,16.7457689,47.2989672
1104	Mikekarácsonyfa	16.6760126,46.6490832,16.7282688,46.6882064
3038	Vép	16.6762699,47.2084748,16.8042048,47.2589246
2940	Meszlen	16.676638,47.3128297,16.7283101,47.3602135
3017	Táplánszentkereszt	16.6775402,47.153548,16.7281808,47.2212669
2742	Und	16.678431,47.4700448,16.7172619,47.5027776
3000	Sorkikápolna	16.6795998,47.104559,16.7198969,47.1637583
1019	Csonkahegyhát	16.6820698,46.7821329,16.735606,46.8124744
2867	Döröske	16.6833991,46.9937146,16.717186,47.0243855
2630	Fertőboz	16.6834784,47.6202861,16.7348604,47.6788233
2637	Gyalóka	16.6840084,47.4344809,16.7284321,47.4606611
1017	Csertalakos	16.6874048,46.6264769,16.7088223,46.6511223
1063	Kávás	16.6884586,46.8313116,16.7235829,46.8708781
1087	Lasztonya	16.6897155,46.5351359,16.7529837,46.5904222
1049	Hagyárosbörönd	16.6906183,46.8886443,16.7373962,46.9314153
995	Barlahida	16.6909493,46.6966603,16.7276851,46.7290224
1148	Pördefölde	16.6910683,46.561781,16.749905,46.6271386
2866	Döbörhegy	16.6917138,46.962311,16.7285325,47.0274272
1105	Milejszeg	16.6927197,46.7826293,16.7692782,46.8259777
2729	Sopronkövesd	16.6963503,47.5016502,16.8497104,47.5674649
2999	Sorkifalud	16.6980373,47.1055763,16.7616203,47.1593986
2994	Sárfimizdó	16.6987452,46.9299413,16.736493,46.9640532
1009	Böde	16.6998802,46.8162326,16.7404258,46.8588233
2879	Gersekarát	16.700286,46.9329893,16.7798124,47.0199999
	Rábahídvég	16.701112,47.0453748,16.7703725,47.1206968
2654	Hidegség	16.7030575,47.6074118,16.7619514,47.6813222
1046	Gutorfölde	16.7032054,46.6210033,16.7911785,46.6805764
1200	Zajk	16.7041174,46.4486793,16.7609428,46.5073435
1142	Petrikeresztúr	16.7062201,46.7114598,16.7520997,46.7507364
2952	Nemesbőd	16.7078841,47.2540375,16.7617708,47.2863188
1140	Pálfiszeg	16.7120497,46.7562222,16.7408494,46.8003409
1043	Gombosszeg	16.7141511,46.7470843,16.7364046,46.7657088
990	Bagod	16.7146287,46.8650699,16.7780531,46.9330118
998	Bázakerettye	16.7153708,46.5092902,16.77168,46.5382491
